0,1,2,3,4,5,6,7,8,9
OPP-000001,ACC-000024,PROD-0098,206,Upsell,2022-02-12 23:31:45,,Proposal,18586.01953125,0.550000011920929
OPP-000003,ACC-000021,PROD-0052,288,Cross-sell,2024-12-23 14:32:20,,Open,92423.421875,0.550000011920929
OPP-000006,ACC-000014,PROD-0026,806,Cross-sell,2022-12-13 19:48:47,,Open,2230.64990234375,0.6600000262260437
OPP-000008,ACC-000030,PROD-0023,476,Renewal,2021-12-18 10:28:23,,Open,52812.53125,0.38999998569488525
OPP-000014,ACC-000024,PROD-0096,231,Expansion,2023-10-12 08:01:34,,Open,42384.140625,0.4399999976158142
OPP-000020,ACC-000023,PROD-0054,263,Renewal,2023-07-18 22:15:20,,Open,14005.990234375,0.6299999952316284
OPP-000022,ACC-000003,PROD-0008,153,Renewal,2024-08-05 11:15:08,,Open,92525.78125,0.20000000298023224
OPP-000023,ACC-000022,PROD-0006,715,Upsell,2022-02-03 03:32:33,,Open,39120.8203125,0.27000001072883606
OPP-000027,ACC-000018,PROD-0100,84,Cross-sell,2023-12-21 05:43:42,,Proposal,77338.640625,0.49000000953674316
OPP-000028,ACC-000049,PROD-0043,693,Cross-sell,2025-05-06 01:21:32,,Proposal,39333.87109375,0.4699999988079071
OPP-000038,ACC-000029,PROD-0004,390,Expansion,2024-04-10 16:52:17,,Proposal,7287.43017578125,0.46000000834465027
OPP-000048,ACC-000001,PROD-0055,960,Cross-sell,2021-07-28 05:01:13,,Proposal,72204.0,0.41999998688697815
OPP-000059,ACC-000018,PROD-0092,410,Expansion,2021-11-12 07:22:38,,Open,99907.2109375,0.6800000071525574
OPP-000060,ACC-000030,PROD-0078,795,Upsell,2022-04-14 03:52:22,,Proposal,41367.51171875,0.3400000035762787
OPP-000062,ACC-000062,PROD-0053,578,Expansion,2023-06-10 00:41:39,,Proposal,2096.8798828125,0.3199999928474426
OPP-000065,ACC-000031,PROD-0052,570,Renewal,2021-08-29 07:48:21,,Proposal,71301.4375,0.36000001430511475
OPP-000070,ACC-000019,PROD-0094,959,Cross-sell,2023-03-01 16:44:13,,Proposal,22554.990234375,0.36000001430511475
OPP-000071,ACC-000010,PROD-0082,864,Renewal,2024-08-27 22:37:35,,Proposal,14107.1298828125,0.46000000834465027
OPP-000076,ACC-000041,PROD-0001,460,Renewal,2023-01-01 15:11:09,,Proposal,41494.96875,0.4300000071525574
OPP-000079,ACC-000007,PROD-0002,54,Renewal,2022-06-30 12:04:50,,Open,50090.94140625,0.49000000953674316
OPP-000080,ACC-000015,PROD-0054,89,Expansion,2023-08-16 05:44:16,,Proposal,96633.8203125,0.4000000059604645
OPP-000081,ACC-000039,PROD-0093,73,Expansion,2022-08-31 03:12:59,,Proposal,52048.0,0.4399999976158142
OPP-000083,ACC-000002,PROD-0057,768,Renewal,2021-10-02 21:37:04,,Proposal,86734.140625,0.38999998569488525
OPP-000084,ACC-000001,PROD-0089,858,Renewal,2024-02-25 16:57:33,,Open,32813.921875,0.5699999928474426
OPP-000086,ACC-000006,PROD-0035,361,Expansion,2025-03-24 13:11:31,,Open,97188.453125,0.11999999731779099
OPP-000087,ACC-000001,PROD-0045,355,Cross-sell,2023-02-20 00:29:40,,Proposal,73163.0625,0.4000000059604645
OPP-000092,ACC-000016,PROD-0066,381,Upsell,2022-09-06 20:06:45,,Proposal,40534.6796875,0.49000000953674316
OPP-000095,ACC-000004,PROD-0025,620,New Business,2025-04-22 06:50:56,,Open,27101.060546875,0.10999999940395355
OPP-000101,ACC-000015,PROD-0077,927,Cross-sell,2025-03-15 06:23:52,,Open,48128.828125,0.6700000166893005
OPP-000102,ACC-000045,PROD-0008,885,Expansion,2024-02-25 06:58:34,,Proposal,91934.8515625,0.3199999928474426
OPP-000103,ACC-000048,PROD-0010,843,Upsell,2024-05-30 01:10:23,,Proposal,34556.890625,0.3799999952316284
OPP-000104,ACC-000025,PROD-0053,136,Expansion,2022-06-16 20:51:30,,Open,25571.51953125,0.5199999809265137
OPP-000105,ACC-000001,PROD-0018,768,Cross-sell,2023-04-07 21:02:36,,Open,74246.453125,0.2800000011920929
OPP-000106,ACC-000029,PROD-0001,222,Upsell,2022-07-06 23:01:45,,Open,40727.19140625,0.30000001192092896
OPP-000108,ACC-000018,PROD-0002,639,Upsell,2023-04-22 01:29:46,,Proposal,12947.6201171875,0.47999998927116394
OPP-000113,ACC-000019,PROD-0096,571,New Business,2023-10-18 21:40:06,,Proposal,69655.09375,0.3700000047683716
OPP-000116,ACC-000008,PROD-0064,632,Cross-sell,2024-04-07 03:40:20,,Open,32174.83984375,0.3400000035762787
OPP-000118,ACC-000049,PROD-0054,924,Cross-sell,2023-10-17 12:51:44,,Open,13977.099609375,0.3100000023841858
OPP-000120,ACC-000052,PROD-0013,324,Cross-sell,2022-05-08 20:24:03,,Open,35339.23828125,0.36000001430511475
OPP-000121,ACC-000005,PROD-0027,252,New Business,2025-02-27 13:19:40,,Proposal,31451.48046875,0.3199999928474426
OPP-000125,ACC-000057,PROD-0042,731,Renewal,2025-04-24 13:34:28,,Proposal,27120.470703125,0.4399999976158142
OPP-000130,ACC-000060,PROD-0059,386,Upsell,2024-04-12 23:49:18,,Proposal,65621.34375,0.4300000071525574
OPP-000135,ACC-000060,PROD-0057,332,Upsell,2022-11-03 18:50:44,,Open,69282.890625,0.4699999988079071
OPP-000136,ACC-000001,PROD-0092,853,New Business,2021-10-11 22:01:10,,Open,98483.453125,0.23000000417232513
OPP-000144,ACC-000029,PROD-0035,323,Renewal,2022-11-05 15:15:28,,Proposal,64923.19921875,0.46000000834465027
OPP-000145,ACC-000050,PROD-0074,696,Upsell,2025-03-26 19:25:27,,Open,84025.640625,0.5199999809265137
OPP-000146,ACC-000039,PROD-0091,519,Cross-sell,2023-04-02 18:15:52,,Open,59338.44921875,0.4699999988079071
