0,1,2
Fortive Corporation,98973.4609375,0.8999999761581421
Eastman Chemical Company,99792.6328125,0.8899999856948853
Intuit Inc.,97701.28125,0.8999999761581421
Electronic Arts Inc.,98598.8125,0.8899999856948853
"Fortinet, Inc.",98270.6484375,0.8899999856948853
"Coinbase Global, Inc.",99201.359375,0.8799999952316284
Tata Consultancy Services Limited,98621.7734375,0.8799999952316284
Duke Energy Corporation,98515.7421875,0.8799999952316284
EQT Corporation,99628.2421875,0.8700000047683716
Tata Consultancy Services Limited,98449.4296875,0.8799999952316284
DTE Energy Company,97021.15625,0.8899999856948853
"Vmware, Inc",98050.8515625,0.8799999952316284
Eastman Chemical Company,99133.921875,0.8700000047683716
Dover Corporation,96175.7578125,0.8899999856948853
Alphabet Inc.,96165.0,0.8899999856948853
"Coinbase Global, Inc.",96087.2421875,0.8899999856948853
"Elevance Health, Inc.",97075.703125,0.8799999952316284
Electronic Arts Inc.,97813.4765625,0.8700000047683716
Ford Motor Company,95350.5,0.8899999856948853
"Vmware, Inc",96121.78125,0.8799999952316284
FirstEnergy Corp.,97169.5,0.8700000047683716
"Fortinet, Inc.",99411.9609375,0.8500000238418579
"Amazon.com, Inc.",97100.4375,0.8700000047683716
"First Solar, Inc.",99195.390625,0.8500000238418579
The Coca-Cola Company,99107.9765625,0.8500000238418579
Zoom Communications Inc.,93567.2421875,0.8999999761581421
Eastman Chemical Company,96776.421875,0.8700000047683716
International Business Machines Corporation,94367.15625,0.8899999856948853
"Dropbox, Inc.",97503.0234375,0.8600000143051147
Hewlett Packard Enterprise Company,96304.6875,0.8700000047683716
EQT Corporation,96295.1328125,0.8700000047683716
"Fortinet, Inc.",92879.3203125,0.8999999761581421
"Amazon.com, Inc.",97120.3828125,0.8600000143051147
"Citizens Financial Group, Inc.",99284.8203125,0.8399999737739563
Sigmasoft Infotech Pvt.Ltd,92658.21875,0.8999999761581421
Ford Motor Company,93699.2421875,0.8899999856948853
Emerson Electric Co.,96919.0625,0.8600000143051147
"Meta Platforms, Inc.",96857.6171875,0.8600000143051147
The Clorox Company,97978.6015625,0.8500000238418579
International Business Machines Corporation,92442.296875,0.8999999761581421
Duke Energy Corporation,97774.0234375,0.8500000238418579
Oracle Corporation,94326.25,0.8799999952316284
The Coca-Cola Company,96472.1484375,0.8600000143051147
"Dropbox, Inc.",95289.6875,0.8700000047683716
"Dominion Energy, Inc.",93114.65625,0.8899999856948853
Eastman Chemical Company,98463.3125,0.8399999737739563
"EPAM Systems, Inc.",97264.9609375,0.8500000238418579
The Coca-Cola Company,95790.4765625,0.8600000143051147
Edwards Lifesciences Corporation,92508.8828125,0.8899999856948853
"Meta Platforms, Inc.",96694.4609375,0.8500000238418579
Wipro Limited,97843.0390625,0.8399999737739563
Dover Corporation,92259.3828125,0.8899999856948853
Atlassian Corporation,94375.46875,0.8700000047683716
Snowflake Inc.,95283.671875,0.8600000143051147
Emerson Electric Co.,94174.3828125,0.8700000047683716
Equifax Inc.,91968.9296875,0.8899999856948853
Microsoft Corporation,91826.3828125,0.8899999856948853
"Coinbase Global, Inc.",95008.046875,0.8600000143051147
Edison International,98291.609375,0.8299999833106995
Ford Motor Company,94816.65625,0.8600000143051147
Hewlett Packard Enterprise Company,94808.2890625,0.8600000143051147
"ServiceNow, Inc.",90541.7890625,0.8999999761581421
Intuit Inc.,96973.1328125,0.8399999737739563
"Elevance Health, Inc.",93625.90625,0.8700000047683716
Entergy Corporation,99283.5390625,0.8199999928474426
Emerson Electric Co.,93535.46875,0.8700000047683716
"Elevance Health, Inc.",92417.4609375,0.8799999952316284
"Meta Platforms, Inc.",93464.03125,0.8700000047683716
"Enphase Energy, Inc.",99120.3828125,0.8199999928474426
Equifax Inc.,93418.0390625,0.8700000047683716
Oracle Corporation,90213.1796875,0.8999999761581421
Tata Consultancy Services Limited,90060.8125,0.8999999761581421
Oracle Corporation,96492.421875,0.8399999737739563
"Dominion Energy, Inc.",91027.2109375,0.8899999856948853
SAP SE,92051.5,0.8799999952316284
Adobe Inc.,97304.7109375,0.8299999833106995
"HubSpot, Inc.",92818.5,0.8700000047683716
"EPAM Systems, Inc.",94999.5234375,0.8500000238418579
Infosys Limited,98441.7890625,0.8199999928474426
"First Solar, Inc.",90668.65625,0.8899999856948853
The Coca-Cola Company,99544.8671875,0.8100000023841858
Adobe Inc.,98320.671875,0.8199999928474426
"Fortinet, Inc.",92634.46875,0.8700000047683716
Wipro Limited,94793.9765625,0.8500000238418579
"DoorDash, Inc.",99420.921875,0.8100000023841858
The Coca-Cola Company,94693.75,0.8500000238418579
"HubSpot, Inc.",96929.5390625,0.8299999833106995
Wipro Limited,92335.5703125,0.8700000047683716
Dell Technologies Inc.,92280.890625,0.8700000047683716
FirstEnergy Corp.,97906.0,0.8199999928474426
International Business Machines Corporation,90145.203125,0.8899999856948853
Eastman Chemical Company,97839.5234375,0.8199999928474426
Sigmasoft Infotech Pvt.Ltd,88986.9921875,0.8999999761581421
Fortive Corporation,97530.9609375,0.8199999928474426
