0,1,2,3,4,5,6,7,8,9
OPP-000075,ACC-000050,PROD-0070,944,New Business,2024-05-26 14:42:19,2024-08-03 22:44:20,Closed Lost,40827.53125,0.0
OPP-000100,ACC-000039,PROD-0084,413,New Business,2024-05-16 19:12:38,2024-09-13 17:25:36,Closed Lost,99425.296875,0.0
OPP-000138,ACC-000047,PROD-0065,717,Renewal,2024-07-20 04:24:54,2024-08-13 04:08:23,Closed Lost,40779.1015625,0.0
OPP-000142,ACC-000024,PROD-0073,949,Renewal,2024-08-01 01:13:07,2024-08-07 18:37:15,Closed Lost,83210.2421875,0.0
OPP-000286,ACC-000008,PROD-0074,294,Expansion,2024-08-10 15:43:48,2024-09-04 15:29:16,Closed Won,64500.12890625,1.0
OPP-000324,ACC-000032,PROD-0038,975,Upsell,2024-02-20 16:27:36,2024-07-19 07:27:46,Closed Won,14744.6201171875,1.0
OPP-000358,ACC-000029,PROD-0083,749,Cross-sell,2024-04-29 17:09:44,2024-08-20 23:16:10,Closed Won,92720.0234375,1.0
OPP-000367,ACC-000022,PROD-0038,401,Renewal,2024-05-07 15:04:43,2024-07-02 20:23:16,Closed Lost,35153.078125,0.0
OPP-000401,ACC-000017,PROD-0076,924,Renewal,2024-06-13 12:07:58,2024-07-25 02:22:51,Closed Won,67311.2421875,1.0
OPP-000412,ACC-000059,PROD-0092,226,Cross-sell,2024-06-30 13:21:11,2024-08-26 07:44:34,Closed Lost,4597.25,0.0
OPP-000414,ACC-000007,PROD-0072,599,New Business,2024-01-30 09:06:03,2024-07-14 00:07:32,Closed Lost,14853.150390625,0.0
OPP-000435,ACC-000035,PROD-0064,808,New Business,2024-02-25 04:35:43,2024-07-29 21:38:17,Closed Won,64948.1796875,1.0
OPP-000459,ACC-000028,PROD-0096,506,New Business,2024-05-28 23:32:25,2024-08-02 16:45:04,Closed Lost,34223.1015625,0.0
OPP-000521,ACC-000013,PROD-0043,667,Renewal,2024-07-05 06:28:58,2024-07-12 09:52:51,Closed Lost,40645.55078125,0.0
OPP-000632,ACC-000028,PROD-0033,343,New Business,2024-03-02 10:05:49,2024-08-12 18:57:07,Closed Won,61699.73046875,1.0
OPP-000722,ACC-000039,PROD-0054,177,Cross-sell,2024-04-22 21:42:15,2024-08-31 22:17:26,Closed Won,41279.80078125,1.0
OPP-000824,ACC-000055,PROD-0072,649,New Business,2024-04-15 15:00:50,2024-07-10 10:20:49,Closed Lost,1961.0400390625,0.0
OPP-000884,ACC-000045,PROD-0056,781,Renewal,2024-03-04 06:32:38,2024-07-27 07:03:06,Closed Won,33298.46875,1.0
OPP-000885,ACC-000044,PROD-0091,20,New Business,2024-04-24 15:38:07,2024-09-02 12:04:58,Closed Lost,88615.1796875,0.0
OPP-000935,ACC-000046,PROD-0043,439,Renewal,2024-08-23 08:12:42,2024-09-15 00:04:10,Closed Lost,50343.48046875,0.0
