opportunity_id,account_id,product_id,product_usage,opportunity_type,created_date,close_date,status,revenue_amount,probability
OPP-000007,ACC-000028,PROD-0039,141,Cross-sell,2024-06-10 08:17:22,2024-11-14 12:30:34,Closed Won,39519.85,1
OPP-000058,ACC-000057,PROD-0066,560,Cross-sell,2024-01-12 03:28:09,2024-04-25 08:43:16,Closed Won,35875.54,1
OPP-000063,ACC-000038,PROD-0053,182,New Business,2023-11-16 13:40:31,2024-04-03 22:01:20,Closed Won,38318.58,1
OPP-000119,ACC-000005,PROD-0048,978,Cross-sell,2024-05-26 04:54:37,2024-10-29 13:40:12,Closed Won,7717.3,1
OPP-000126,ACC-000044,PROD-0060,51,Expansion,2023-09-20 06:36:45,2024-03-15 21:28:55,Closed Won,99388.21,1
OPP-000137,ACC-000041,PROD-0093,798,Expansion,2023-11-11 08:52:52,2024-02-23 20:39:42,Closed Won,49783.55,1
OPP-000157,ACC-000057,PROD-0087,555,Cross-sell,2024-10-20 20:58:34,2024-11-27 08:48:36,Closed Won,85775.29,1
OPP-000178,ACC-000007,PROD-0074,431,Expansion,2024-01-23 23:01:02,2024-04-24 23:36:48,Closed Won,65023.58,1
OPP-000212,ACC-000061,PROD-0060,933,New Business,2024-01-28 23:00:01,2024-06-20 17:53:41,Closed Won,29872.06,1
OPP-000223,ACC-000029,PROD-0055,568,Renewal,2023-10-09 11:11:58,2024-01-20 10:57:04,Closed Won,49333.99,1
OPP-000281,ACC-000006,PROD-0064,119,Expansion,2024-06-07 02:49:25,2024-10-12 01:24:31,Closed Won,78486.4,1
OPP-000286,ACC-000008,PROD-0074,294,Expansion,2024-08-10 15:43:48,2024-09-04 15:29:16,Closed Won,64500.13,1
OPP-000324,ACC-000032,PROD-0038,975,Upsell,2024-02-20 16:27:36,2024-07-19 07:27:46,Closed Won,14744.62,1
OPP-000358,ACC-000029,PROD-0083,749,Cross-sell,2024-04-29 17:09:44,2024-08-20 23:16:10,Closed Won,92720.02,1
OPP-000360,ACC-000051,PROD-0067,437,Cross-sell,2024-01-21 17:50:28,2024-03-20 16:40:46,Closed Won,12169.55,1
OPP-000401,ACC-000017,PROD-0076,924,Renewal,2024-06-13 12:07:58,2024-07-25 02:22:51,Closed Won,67311.24,1
OPP-000405,ACC-000055,PROD-0084,932,Renewal,2024-03-01 15:45:02,2024-06-13 08:49:13,Closed Won,60229,1
OPP-000421,ACC-000037,PROD-0069,109,New Business,2023-11-19 14:15:26,2024-02-24 23:38:04,Closed Won,34798.44,1
OPP-000435,ACC-000035,PROD-0064,808,New Business,2024-02-25 04:35:43,2024-07-29 21:38:17,Closed Won,64948.18,1
OPP-000440,ACC-000033,PROD-0078,298,Expansion,2024-02-09 10:04:24,2024-04-30 22:23:56,Closed Won,77540.82,1
OPP-000455,ACC-000007,PROD-0054,467,Expansion,2023-10-30 22:58:35,2024-01-02 20:34:15,Closed Won,44783.92,1
OPP-000497,ACC-000012,PROD-0096,975,Upsell,2023-12-12 12:40:23,2024-04-24 15:18:12,Closed Won,12247.87,1
OPP-000533,ACC-000039,PROD-0023,794,Upsell,2024-10-29 22:33:42,2024-11-07 04:50:06,Closed Won,35350.44,1
OPP-000556,ACC-000004,PROD-0086,395,New Business,2024-05-14 19:34:40,2024-06-10 14:05:04,Closed Won,51702.74,1
OPP-000569,ACC-000049,PROD-0061,785,Expansion,2024-05-30 20:53:46,2024-11-12 13:26:25,Closed Won,6880.1,1
OPP-000622,ACC-000048,PROD-0053,486,Cross-sell,2024-05-12 22:02:34,2024-05-23 17:11:05,Closed Won,82187.27,1
OPP-000632,ACC-000028,PROD-0033,343,New Business,2024-03-02 10:05:49,2024-08-12 18:57:07,Closed Won,61699.73,1
OPP-000722,ACC-000039,PROD-0054,177,Cross-sell,2024-04-22 21:42:15,2024-08-31 22:17:26,Closed Won,41279.8,1
OPP-000729,ACC-000023,PROD-0040,927,Upsell,2024-01-10 13:02:02,2024-04-10 10:20:36,Closed Won,80413.96,1
OPP-000752,ACC-000016,PROD-0089,72,New Business,2024-12-07 14:43:44,2024-12-08 15:35:16,Closed Won,65660.39,1
OPP-000879,ACC-000003,PROD-0047,408,Cross-sell,2023-09-19 13:53:03,2024-03-11 09:11:27,Closed Won,74568.43,1
OPP-000884,ACC-000045,PROD-0056,781,Renewal,2024-03-04 06:32:38,2024-07-27 07:03:06,Closed Won,33298.47,1
OPP-000887,ACC-000029,PROD-0018,133,New Business,2024-03-08 23:19:02,2024-06-22 16:09:30,Closed Won,4790.35,1
