0,1,2
OPP-000028,Slack Technologies Inc,2025-05-06 01:21:32
OPP-000044,Wipro Limited,2025-05-16 15:56:37
OPP-000055,Atlassian Corporation,2025-05-02 16:31:18
OPP-000067,Alphabet Inc.,2025-05-31 06:27:03
OPP-000088,EQT Corporation,2025-04-11 18:19:28
OPP-000095,"DoorDash, Inc.",2025-04-22 06:50:56
OPP-000110,"D.R. Horton, Inc.",2025-05-11 19:07:21
OPP-000125,"EPAM Systems, Inc.",2025-04-24 13:34:28
OPP-000128,"EOG Resources, Inc.",2025-05-10 15:46:59
OPP-000131,EQT Corporation,2025-06-16 23:36:23
OPP-000133,"Fortinet, Inc.",2025-05-23 06:08:49
OPP-000151,"Elevance Health, Inc.",2025-04-17 13:18:53
OPP-000153,Dell Technologies Inc.,2025-06-17 07:48:42
OPP-000200,"Coinbase Global, Inc.",2025-06-07 18:38:29
OPP-000219,DTE Energy Company,2025-06-26 11:22:24
OPP-000253,"Dropbox, Inc.",2025-05-26 05:45:21
OPP-000257,Alphabet Inc.,2025-05-02 09:11:56
OPP-000266,SAP SE,2025-06-24 11:01:47
OPP-000267,"EOG Resources, Inc.",2025-04-17 20:41:38
OPP-000276,Entergy Corporation,2025-04-20 03:23:01
OPP-000282,"Elevance Health, Inc.",2025-05-07 19:11:48
OPP-000320,CME Group Inc.,2025-04-24 09:47:58
OPP-000362,"Enphase Energy, Inc.",2025-05-28 08:09:27
OPP-000410,Cognizant Technology Solutions Corporation,2025-06-18 07:44:02
OPP-000427,Colgate-Palmolive Company,2025-04-01 07:05:55
OPP-000470,Equifax Inc.,2025-05-31 06:48:38
OPP-000472,SAP SE,2025-05-21 18:45:47
OPP-000480,The Coca-Cola Company,2025-04-20 08:22:05
OPP-000485,Emerson Electric Co.,2025-06-08 20:14:46
OPP-000499,"HubSpot, Inc.",2025-05-21 19:38:07
OPP-000500,"Amazon.com, Inc.",2025-04-08 01:52:01
OPP-000536,Ford Motor Company,2025-05-17 10:01:42
OPP-000543,"Coinbase Global, Inc.",2025-05-04 08:55:35
OPP-000567,Slack Technologies Inc,2025-06-15 21:47:04
OPP-000574,"Salesforce, Inc.",2025-04-09 20:58:52
