0,1,2,3,4,5,6,7,8,9
OPP-000007,ACC-000028,PROD-0039,141,Cross-sell,2024-06-10 08:17:22,2024-11-14 12:30:34,Closed Won,39519.8515625,1.0
OPP-000017,ACC-000050,PROD-0076,618,Cross-sell,2023-10-25 09:54:00,2024-02-05 00:29:44,Closed Lost,58573.55078125,0.0
OPP-000024,ACC-000003,PROD-0044,922,Expansion,2024-06-12 07:51:33,2024-10-27 00:17:40,Closed Lost,70882.8984375,0.0
OPP-000035,ACC-000006,PROD-0059,756,Upsell,2024-02-13 13:07:32,2024-04-07 05:23:19,Closed Lost,42865.98046875,0.0
OPP-000042,ACC-000049,PROD-0098,925,Cross-sell,2024-04-19 10:12:44,2024-06-12 02:36:36,Closed Lost,38581.75,0.0
OPP-000043,ACC-000010,PROD-0084,524,New Business,2024-04-23 11:28:32,2024-10-06 22:28:11,Closed Lost,1145.800048828125,0.0
OPP-000045,ACC-000034,PROD-0082,920,Renewal,2024-04-19 00:03:16,2024-06-28 22:47:50,Closed Lost,16774.0703125,0.0
OPP-000053,ACC-000014,PROD-0053,611,Upsell,2023-08-27 13:29:11,2024-01-13 08:52:33,Closed Lost,9912.4501953125,0.0
OPP-000058,ACC-000057,PROD-0066,560,Cross-sell,2024-01-12 03:28:09,2024-04-25 08:43:16,Closed Won,35875.5390625,1.0
OPP-000063,ACC-000038,PROD-0053,182,New Business,2023-11-16 13:40:31,2024-04-03 22:01:20,Closed Won,38318.578125,1.0
OPP-000075,ACC-000050,PROD-0070,944,New Business,2024-05-26 14:42:19,2024-08-03 22:44:20,Closed Lost,40827.53125,0.0
OPP-000098,ACC-000019,PROD-0029,81,Expansion,2024-08-05 09:59:16,2024-10-19 15:12:07,Closed Lost,68394.203125,0.0
OPP-000100,ACC-000039,PROD-0084,413,New Business,2024-05-16 19:12:38,2024-09-13 17:25:36,Closed Lost,99425.296875,0.0
OPP-000107,ACC-000026,PROD-0031,445,New Business,2023-12-05 12:56:06,2024-01-05 04:47:51,Closed Lost,5357.66015625,0.0
OPP-000111,ACC-000012,PROD-0051,43,Upsell,2024-01-24 23:31:00,2024-03-29 22:05:41,Closed Lost,71944.171875,0.0
OPP-000119,ACC-000005,PROD-0048,978,Cross-sell,2024-05-26 04:54:37,2024-10-29 13:40:12,Closed Won,7717.2998046875,1.0
OPP-000126,ACC-000044,PROD-0060,51,Expansion,2023-09-20 06:36:45,2024-03-15 21:28:55,Closed Won,99388.2109375,1.0
OPP-000129,ACC-000026,PROD-0038,266,Expansion,2024-10-06 19:16:25,2024-11-04 23:43:58,Closed Lost,86989.140625,0.0
OPP-000137,ACC-000041,PROD-0093,798,Expansion,2023-11-11 08:52:52,2024-02-23 20:39:42,Closed Won,49783.55078125,1.0
OPP-000138,ACC-000047,PROD-0065,717,Renewal,2024-07-20 04:24:54,2024-08-13 04:08:23,Closed Lost,40779.1015625,0.0
OPP-000142,ACC-000024,PROD-0073,949,Renewal,2024-08-01 01:13:07,2024-08-07 18:37:15,Closed Lost,83210.2421875,0.0
OPP-000157,ACC-000057,PROD-0087,555,Cross-sell,2024-10-20 20:58:34,2024-11-27 08:48:36,Closed Won,85775.2890625,1.0
OPP-000165,ACC-000047,PROD-0009,464,Expansion,2024-01-25 08:18:05,2024-05-15 10:54:49,Closed Lost,41412.71875,0.0
OPP-000178,ACC-000007,PROD-0074,431,Expansion,2024-01-23 23:01:02,2024-04-24 23:36:48,Closed Won,65023.578125,1.0
OPP-000202,ACC-000020,PROD-0062,974,Cross-sell,2024-02-12 03:22:09,2024-05-18 06:40:06,Closed Lost,75501.7265625,0.0
OPP-000212,ACC-000061,PROD-0060,933,New Business,2024-01-28 23:00:01,2024-06-20 17:53:41,Closed Won,29872.060546875,1.0
OPP-000223,ACC-000029,PROD-0055,568,Renewal,2023-10-09 11:11:58,2024-01-20 10:57:04,Closed Won,49333.98828125,1.0
OPP-000226,ACC-000056,PROD-0049,834,Cross-sell,2024-06-26 08:56:50,2024-11-27 04:15:34,Closed Lost,55408.9609375,0.0
OPP-000274,ACC-000017,PROD-0012,746,Cross-sell,2024-01-01 14:17:05,2024-06-24 16:49:30,Closed Lost,86632.546875,0.0
